atom_1,atom_2,atom_3,atom_4,atom_indices,element_1,element_2,element_3,element_4,elements,parameter_type,parameter_id,parameter_smirks,value,energy,qcarchive_id,grid_id,mapped_smiles,forcefield
9,21,-1,-1,"(9, 21)",N,H,,,"('N', 'H')",Bonds,b87,[#7:1]-[#1:2],1.0184742387029773,0.0008831194976514267,17731117,-165,[H:11][c:1]1[c:2]([c:4]([c:6]([c:5]([c:3]1[H:13])[H:15])[C@@:8]2([C@@:9]([C:7]2([H:16])[H:17])([H:19])[N+:10]([H:20])([H:21])[H:22])[H:18])[H:14])[H:12],tm-2.2.offxml
0,1,3,-1,"(0, 1, 3)",C,C,C,,"('C', 'C', 'C')",Angles,a10,[*:1]~[#6X3:2]~[*:3],120.07202224811117,0.0003770382693616757,17731117,-165,[H:11][c:1]1[c:2]([c:4]([c:6]([c:5]([c:3]1[H:13])[H:15])[C@@:8]2([C@@:9]([C:7]2([H:16])[H:17])([H:19])[N+:10]([H:20])([H:21])[H:22])[H:18])[H:14])[H:12],tm-2.2.offxml
0,1,11,-1,"(0, 1, 11)",C,C,H,,"('C', 'C', 'H')",Angles,a11,[#1:1]-[#6X3:2]~[*:3],119.83026451091001,1.9403118565658804e-06,17731117,-165,[H:11][c:1]1[c:2]([c:4]([c:6]([c:5]([c:3]1[H:13])[H:15])[C@@:8]2([C@@:9]([C:7]2([H:16])[H:17])([H:19])[N+:10]([H:20])([H:21])[H:22])[H:18])[H:14])[H:12],tm-2.2.offxml
0,2,4,-1,"(0, 2, 4)",C,C,C,,"('C', 'C', 'C')",Angles,a10,[*:1]~[#6X3:2]~[*:3],120.07448863071653,0.00036173906421898844,17731117,-165,[H:11][c:1]1[c:2]([c:4]([c:6]([c:5]([c:3]1[H:13])[H:15])[C@@:8]2([C@@:9]([C:7]2([H:16])[H:17])([H:19])[N+:10]([H:20])([H:21])[H:22])[H:18])[H:14])[H:12],tm-2.2.offxml
0,2,12,-1,"(0, 2, 12)",C,C,H,,"('C', 'C', 'H')",Angles,a11,[#1:1]-[#6X3:2]~[*:3],119.70663691477489,0.00018904110436380512,17731117,-165,[H:11][c:1]1[c:2]([c:4]([c:6]([c:5]([c:3]1[H:13])[H:15])[C@@:8]2([C@@:9]([C:7]2([H:16])[H:17])([H:19])[N+:10]([H:20])([H:21])[H:22])[H:18])[H:14])[H:12],tm-2.2.offxml
1,0,2,-1,"(1, 0, 2)",C,C,C,,"('C', 'C', 'C')",Angles,a10,[*:1]~[#6X3:2]~[*:3],119.93717821149957,0.00169571957189462,17731117,-165,[H:11][c:1]1[c:2]([c:4]([c:6]([c:5]([c:3]1[H:13])[H:15])[C@@:8]2([C@@:9]([C:7]2([H:16])[H:17])([H:19])[N+:10]([H:20])([H:21])[H:22])[H:18])[H:14])[H:12],tm-2.2.offxml
1,0,10,-1,"(1, 0, 10)",C,C,H,,"('C', 'C', 'H')",Angles,a11,[#1:1]-[#6X3:2]~[*:3],119.98288704824967,0.00019213543718712796,17731117,-165,[H:11][c:1]1[c:2]([c:4]([c:6]([c:5]([c:3]1[H:13])[H:15])[C@@:8]2([C@@:9]([C:7]2([H:16])[H:17])([H:19])[N+:10]([H:20])([H:21])[H:22])[H:18])[H:14])[H:12],tm-2.2.offxml
1,3,5,-1,"(1, 3, 5)",C,C,C,,"('C', 'C', 'C')",Angles,a10,[*:1]~[#6X3:2]~[*:3],120.17307462134265,9.66748386034129e-06,17731117,-165,[H:11][c:1]1[c:2]([c:4]([c:6]([c:5]([c:3]1[H:13])[H:15])[C@@:8]2([C@@:9]([C:7]2([H:16])[H:17])([H:19])[N+:10]([H:20])([H:21])[H:22])[H:18])[H:14])[H:12],tm-2.2.offxml
1,3,13,-1,"(1, 3, 13)",C,C,H,,"('C', 'C', 'H')",Angles,a11,[#1:1]-[#6X3:2]~[*:3],118.99822835141865,0.007149192627553956,17731117,-165,[H:11][c:1]1[c:2]([c:4]([c:6]([c:5]([c:3]1[H:13])[H:15])[C@@:8]2([C@@:9]([C:7]2([H:16])[H:17])([H:19])[N+:10]([H:20])([H:21])[H:22])[H:18])[H:14])[H:12],tm-2.2.offxml
2,0,10,-1,"(2, 0, 10)",C,C,H,,"('C', 'C', 'H')",Angles,a11,[#1:1]-[#6X3:2]~[*:3],120.07729867500922,0.0005427735236470121,17731117,-165,[H:11][c:1]1[c:2]([c:4]([c:6]([c:5]([c:3]1[H:13])[H:15])[C@@:8]2([C@@:9]([C:7]2([H:16])[H:17])([H:19])[N+:10]([H:20])([H:21])[H:22])[H:18])[H:14])[H:12],tm-2.2.offxml
2,4,5,-1,"(2, 4, 5)",C,C,C,,"('C', 'C', 'C')",Angles,a10,[*:1]~[#6X3:2]~[*:3],120.17738048531736,5.829139500785181e-06,17731117,-165,[H:11][c:1]1[c:2]([c:4]([c:6]([c:5]([c:3]1[H:13])[H:15])[C@@:8]2([C@@:9]([C:7]2([H:16])[H:17])([H:19])[N+:10]([H:20])([H:21])[H:22])[H:18])[H:14])[H:12],tm-2.2.offxml
2,4,14,-1,"(2, 4, 14)",C,C,H,,"('C', 'C', 'H')",Angles,a11,[#1:1]-[#6X3:2]~[*:3],119.13143643553875,0.005075006695559396,17731117,-165,[H:11][c:1]1[c:2]([c:4]([c:6]([c:5]([c:3]1[H:13])[H:15])[C@@:8]2([C@@:9]([C:7]2([H:16])[H:17])([H:19])[N+:10]([H:20])([H:21])[H:22])[H:18])[H:14])[H:12],tm-2.2.offxml
3,1,11,-1,"(3, 1, 11)",C,C,H,,"('C', 'C', 'H')",Angles,a11,[#1:1]-[#6X3:2]~[*:3],120.09615287379071,0.000634129634468526,17731117,-165,[H:11][c:1]1[c:2]([c:4]([c:6]([c:5]([c:3]1[H:13])[H:15])[C@@:8]2([C@@:9]([C:7]2([H:16])[H:17])([H:19])[N+:10]([H:20])([H:21])[H:22])[H:18])[H:14])[H:12],tm-2.2.offxml
3,5,4,-1,"(3, 5, 4)",C,C,C,,"('C', 'C', 'C')",Angles,a10,[*:1]~[#6X3:2]~[*:3],119.54375060043805,0.01095621854889021,17731117,-165,[H:11][c:1]1[c:2]([c:4]([c:6]([c:5]([c:3]1[H:13])[H:15])[C@@:8]2([C@@:9]([C:7]2([H:16])[H:17])([H:19])[N+:10]([H:20])([H:21])[H:22])[H:18])[H:14])[H:12],tm-2.2.offxml
3,5,7,-1,"(3, 5, 7)",C,C,C,,"('C', 'C', 'C')",Angles,a10,[*:1]~[#6X3:2]~[*:3],120.50205724193636,0.0024983209008622043,17731117,-165,[H:11][c:1]1[c:2]([c:4]([c:6]([c:5]([c:3]1[H:13])[H:15])[C@@:8]2([C@@:9]([C:7]2([H:16])[H:17])([H:19])[N+:10]([H:20])([H:21])[H:22])[H:18])[H:14])[H:12],tm-2.2.offxml
4,2,12,-1,"(4, 2, 12)",C,C,H,,"('C', 'C', 'H')",Angles,a11,[#1:1]-[#6X3:2]~[*:3],120.21758968045626,0.0013927255196070083,17731117,-165,[H:11][c:1]1[c:2]([c:4]([c:6]([c:5]([c:3]1[H:13])[H:15])[C@@:8]2([C@@:9]([C:7]2([H:16])[H:17])([H:19])[N+:10]([H:20])([H:21])[H:22])[H:18])[H:14])[H:12],tm-2.2.offxml
4,5,7,-1,"(4, 5, 7)",C,C,C,,"('C', 'C', 'C')",Angles,a10,[*:1]~[#6X3:2]~[*:3],119.88933668911666,0.0023912063020112063,17731117,-165,[H:11][c:1]1[c:2]([c:4]([c:6]([c:5]([c:3]1[H:13])[H:15])[C@@:8]2([C@@:9]([C:7]2([H:16])[H:17])([H:19])[N+:10]([H:20])([H:21])[H:22])[H:18])[H:14])[H:12],tm-2.2.offxml
5,3,13,-1,"(5, 3, 13)",C,C,H,,"('C', 'C', 'H')",Angles,a11,[#1:1]-[#6X3:2]~[*:3],120.82630402223982,0.00963513520242071,17731117,-165,[H:11][c:1]1[c:2]([c:4]([c:6]([c:5]([c:3]1[H:13])[H:15])[C@@:8]2([C@@:9]([C:7]2([H:16])[H:17])([H:19])[N+:10]([H:20])([H:21])[H:22])[H:18])[H:14])[H:12],tm-2.2.offxml
5,4,14,-1,"(5, 4, 14)",C,C,H,,"('C', 'C', 'H')",Angles,a11,[#1:1]-[#6X3:2]~[*:3],120.69097755607683,0.007162775216290717,17731117,-165,[H:11][c:1]1[c:2]([c:4]([c:6]([c:5]([c:3]1[H:13])[H:15])[C@@:8]2([C@@:9]([C:7]2([H:16])[H:17])([H:19])[N+:10]([H:20])([H:21])[H:22])[H:18])[H:14])[H:12],tm-2.2.offxml
5,7,6,-1,"(5, 7, 6)",C,C,C,,"('C', 'C', 'C')",Angles,a4,[*;r3:1]~;@[*;r3:2]~;!@[*:3],119.2008224942378,0.0431367053835724,17731117,-165,[H:11][c:1]1[c:2]([c:4]([c:6]([c:5]([c:3]1[H:13])[H:15])[C@@:8]2([C@@:9]([C:7]2([H:16])[H:17])([H:19])[N+:10]([H:20])([H:21])[H:22])[H:18])[H:14])[H:12],tm-2.2.offxml
5,7,8,-1,"(5, 7, 8)",C,C,C,,"('C', 'C', 'C')",Angles,a4,[*;r3:1]~;@[*;r3:2]~;!@[*:3],118.53343481639847,0.014424031216918261,17731117,-165,[H:11][c:1]1[c:2]([c:4]([c:6]([c:5]([c:3]1[H:13])[H:15])[C@@:8]2([C@@:9]([C:7]2([H:16])[H:17])([H:19])[N+:10]([H:20])([H:21])[H:22])[H:18])[H:14])[H:12],tm-2.2.offxml
5,7,17,-1,"(5, 7, 17)",C,C,H,,"('C', 'C', 'H')",Angles,a6,[#1:1]-[*;r3:2]~;!@[*:3],113.4745894175272,0.013868400007520354,17731117,-165,[H:11][c:1]1[c:2]([c:4]([c:6]([c:5]([c:3]1[H:13])[H:15])[C@@:8]2([C@@:9]([C:7]2([H:16])[H:17])([H:19])[N+:10]([H:20])([H:21])[H:22])[H:18])[H:14])[H:12],tm-2.2.offxml
6,7,8,-1,"(6, 7, 8)",C,C,C,,"('C', 'C', 'C')",Angles,a3,[*;r3:1]1~;@[*;r3:2]~;@[*;r3:3]1,58.76005311839427,0.019475349332689594,17731117,-165,[H:11][c:1]1[c:2]([c:4]([c:6]([c:5]([c:3]1[H:13])[H:15])[C@@:8]2([C@@:9]([C:7]2([H:16])[H:17])([H:19])[N+:10]([H:20])([H:21])[H:22])[H:18])[H:14])[H:12],tm-2.2.offxml
6,7,17,-1,"(6, 7, 17)",C,C,H,,"('C', 'C', 'H')",Angles,a4,[*;r3:1]~;@[*;r3:2]~;!@[*:3],117.58567662587862,1.8419846203635196e-05,17731117,-165,[H:11][c:1]1[c:2]([c:4]([c:6]([c:5]([c:3]1[H:13])[H:15])[C@@:8]2([C@@:9]([C:7]2([H:16])[H:17])([H:19])[N+:10]([H:20])([H:21])[H:22])[H:18])[H:14])[H:12],tm-2.2.offxml
6,8,7,-1,"(6, 8, 7)",C,C,C,,"('C', 'C', 'C')",Angles,a3,[*;r3:1]1~;@[*;r3:2]~;@[*;r3:3]1,60.58511134689654,0.009365479161257052,17731117,-165,[H:11][c:1]1[c:2]([c:4]([c:6]([c:5]([c:3]1[H:13])[H:15])[C@@:8]2([C@@:9]([C:7]2([H:16])[H:17])([H:19])[N+:10]([H:20])([H:21])[H:22])[H:18])[H:14])[H:12],tm-2.2.offxml
6,8,9,-1,"(6, 8, 9)",C,C,N,,"('C', 'C', 'N')",Angles,a4,[*;r3:1]~;@[*;r3:2]~;!@[*:3],117.8753241716338,0.0011373079216439321,17731117,-165,[H:11][c:1]1[c:2]([c:4]([c:6]([c:5]([c:3]1[H:13])[H:15])[C@@:8]2([C@@:9]([C:7]2([H:16])[H:17])([H:19])[N+:10]([H:20])([H:21])[H:22])[H:18])[H:14])[H:12],tm-2.2.offxml
6,8,18,-1,"(6, 8, 18)",C,C,H,,"('C', 'C', 'H')",Angles,a4,[*;r3:1]~;@[*;r3:2]~;!@[*:3],116.68085094752372,0.01514103829768567,17731117,-165,[H:11][c:1]1[c:2]([c:4]([c:6]([c:5]([c:3]1[H:13])[H:15])[C@@:8]2([C@@:9]([C:7]2([H:16])[H:17])([H:19])[N+:10]([H:20])([H:21])[H:22])[H:18])[H:14])[H:12],tm-2.2.offxml
7,6,8,-1,"(7, 6, 8)",C,C,C,,"('C', 'C', 'C')",Angles,a3,[*;r3:1]1~;@[*;r3:2]~;@[*;r3:3]1,60.65483553470921,0.011194506506410429,17731117,-165,[H:11][c:1]1[c:2]([c:4]([c:6]([c:5]([c:3]1[H:13])[H:15])[C@@:8]2([C@@:9]([C:7]2([H:16])[H:17])([H:19])[N+:10]([H:20])([H:21])[H:22])[H:18])[H:14])[H:12],tm-2.2.offxml
7,6,15,-1,"(7, 6, 15)",C,C,H,,"('C', 'C', 'H')",Angles,a4,[*;r3:1]~;@[*;r3:2]~;!@[*:3],117.81940330051975,0.0006961397780911687,17731117,-165,[H:11][c:1]1[c:2]([c:4]([c:6]([c:5]([c:3]1[H:13])[H:15])[C@@:8]2([C@@:9]([C:7]2([H:16])[H:17])([H:19])[N+:10]([H:20])([H:21])[H:22])[H:18])[H:14])[H:12],tm-2.2.offxml
7,6,16,-1,"(7, 6, 16)",C,C,H,,"('C', 'C', 'H')",Angles,a4,[*;r3:1]~;@[*;r3:2]~;!@[*:3],117.77172458548279,0.000405083930143216,17731117,-165,[H:11][c:1]1[c:2]([c:4]([c:6]([c:5]([c:3]1[H:13])[H:15])[C@@:8]2([C@@:9]([C:7]2([H:16])[H:17])([H:19])[N+:10]([H:20])([H:21])[H:22])[H:18])[H:14])[H:12],tm-2.2.offxml
7,8,9,-1,"(7, 8, 9)",C,C,N,,"('C', 'C', 'N')",Angles,a4,[*;r3:1]~;@[*;r3:2]~;!@[*:3],118.00180200131302,0.0025325082610743615,17731117,-165,[H:11][c:1]1[c:2]([c:4]([c:6]([c:5]([c:3]1[H:13])[H:15])[C@@:8]2([C@@:9]([C:7]2([H:16])[H:17])([H:19])[N+:10]([H:20])([H:21])[H:22])[H:18])[H:14])[H:12],tm-2.2.offxml
7,8,18,-1,"(7, 8, 18)",C,C,H,,"('C', 'C', 'H')",Angles,a4,[*;r3:1]~;@[*;r3:2]~;!@[*:3],116.13416681800469,0.037947213714591005,17731117,-165,[H:11][c:1]1[c:2]([c:4]([c:6]([c:5]([c:3]1[H:13])[H:15])[C@@:8]2([C@@:9]([C:7]2([H:16])[H:17])([H:19])[N+:10]([H:20])([H:21])[H:22])[H:18])[H:14])[H:12],tm-2.2.offxml
8,6,15,-1,"(8, 6, 15)",C,C,H,,"('C', 'C', 'H')",Angles,a4,[*;r3:1]~;@[*;r3:2]~;!@[*:3],118.90812843995158,0.02865507409506621,17731117,-165,[H:11][c:1]1[c:2]([c:4]([c:6]([c:5]([c:3]1[H:13])[H:15])[C@@:8]2([C@@:9]([C:7]2([H:16])[H:17])([H:19])[N+:10]([H:20])([H:21])[H:22])[H:18])[H:14])[H:12],tm-2.2.offxml
8,6,16,-1,"(8, 6, 16)",C,C,H,,"('C', 'C', 'H')",Angles,a4,[*;r3:1]~;@[*;r3:2]~;!@[*:3],117.59407342986032,1.0174608238595653e-05,17731117,-165,[H:11][c:1]1[c:2]([c:4]([c:6]([c:5]([c:3]1[H:13])[H:15])[C@@:8]2([C@@:9]([C:7]2([H:16])[H:17])([H:19])[N+:10]([H:20])([H:21])[H:22])[H:18])[H:14])[H:12],tm-2.2.offxml
8,7,17,-1,"(8, 7, 17)",C,C,H,,"('C', 'C', 'H')",Angles,a4,[*;r3:1]~;@[*;r3:2]~;!@[*:3],118.88199181598213,0.027505460243517486,17731117,-165,[H:11][c:1]1[c:2]([c:4]([c:6]([c:5]([c:3]1[H:13])[H:15])[C@@:8]2([C@@:9]([C:7]2([H:16])[H:17])([H:19])[N+:10]([H:20])([H:21])[H:22])[H:18])[H:14])[H:12],tm-2.2.offxml
8,9,19,-1,"(8, 9, 19)",C,N,H,,"('C', 'N', 'H')",Angles,a19,"[#1:1]-[#7X4,#7X3,#7X2-1:2]-[*:3]",111.46911759195986,0.0601036518335489,17731117,-165,[H:11][c:1]1[c:2]([c:4]([c:6]([c:5]([c:3]1[H:13])[H:15])[C@@:8]2([C@@:9]([C:7]2([H:16])[H:17])([H:19])[N+:10]([H:20])([H:21])[H:22])[H:18])[H:14])[H:12],tm-2.2.offxml
